,machine,reward,num_actions,max_RUL,slack,reward_estimate
115,116,-183,18,87,69,-2.1
116,117,450,251,263,12,1.71
117,118,-447,39,39,0,-11.46
118,119,-172,29,171,142,-1.01
119,120,-386,100,100,0,-3.86
120,121,-359,127,127,0,-2.83
121,122,-185,16,158,142,-1.17
122,123,-438,48,48,0,-9.12
123,124,-277,209,209,0,-1.33
124,125,93,93,146,53,0.64
125,126,272,73,75,2,3.63
126,127,-419,67,67,0,-6.25
127,128,-464,22,22,0,-21.09
128,129,292,93,100,7,2.92
129,130,353,154,183,29,1.93
130,131,-180,21,122,101,-1.48
131,132,-152,49,169,120,-0.9
132,133,-186,15,134,119,-1.39
133,134,16,16,51,35,0.31
134,135,-186,15,76,61,-2.45
135,136,91,91,162,71,0.56
136,137,-438,48,48,0,-9.12
137,138,-360,126,126,0,-2.86
138,139,-182,19,148,129,-1.23
139,140,-177,24,182,158,-0.97
140,141,-277,209,209,0,-1.33
141,142,-350,136,136,0,-2.57
142,143,-149,52,183,131,-0.81
143,144,348,149,163,14,2.13
144,145,121,121,194,73,0.62
145,146,-178,23,131,108,-1.36
146,147,-406,80,80,0,-5.08
147,148,-183,18,131,113,-1.4
148,149,31,31,64,33,0.48
149,150,101,101,163,62,0.62
150,151,-450,36,36,0,-12.5
151,152,337,138,164,26,2.05
152,153,-338,148,148,0,-2.28
153,154,-413,73,73,0,-5.66
154,155,77,77,122,45,0.63
155,156,-414,72,72,0,-5.75
156,157,-411,75,75,0,-5.48
157,158,-146,55,246,191,-0.59
158,159,-465,21,21,0,-22.14
159,160,-170,31,143,112,-1.19
160,161,258,59,69,10,3.74
161,162,-154,47,204,157,-0.75
162,163,-197,4,173,169,-1.14
163,164,-166,35,232,197,-0.72
164,165,166,166,366,200,0.45
165,166,-197,4,62,58,-3.18
166,167,-163,38,145,107,-1.12
167,168,90,90,217,127,0.41
168,169,347,148,157,9,2.21
169,170,-197,4,263,259,-0.75
170,171,-422,64,64,0,-6.59
171,172,49,49,142,93,0.35
172,173,-336,150,150,0,-2.24
173,174,-194,7,102,95,-1.9
174,175,122,122,191,69,0.64
175,176,99,99,221,122,0.45
176,177,-200,1,66,65,-3.03
177,178,64,64,127,63,0.5
178,179,-374,112,112,0,-3.34
179,180,-168,33,277,244,-0.61
180,181,258,59,75,16,3.44
181,182,-391,95,95,0,-4.12
182,183,-466,20,20,0,-23.3
183,184,-283,203,203,0,-1.39
184,185,-146,55,182,127,-0.8
185,186,-404,82,82,0,-4.93
186,187,-356,130,130,0,-2.74
187,188,59,59,165,106,0.36
188,189,35,35,58,23,0.6
189,190,105,105,162,57,0.65
190,191,-176,25,277,252,-0.64
191,192,-364,122,122,0,-2.98
192,193,-411,75,75,0,-5.48
193,194,296,97,116,19,2.55
194,195,44,44,77,33,0.57
195,196,304,105,139,34,2.19
196,197,395,196,212,16,1.86
197,198,-374,112,112,0,-3.34
198,199,334,135,162,27,2.06
199,200,-338,148,148,0,-2.28
200,201,228,29,37,8,6.16
201,202,-365,121,121,0,-3.02
202,203,-156,45,185,140,-0.84
203,204,95,95,140,45,0.68
204,205,-426,60,60,0,-7.1
205,206,-182,19,71,52,-2.56
206,207,-355,131,131,0,-2.71
207,208,-187,14,173,159,-1.08
208,209,-171,30,143,113,-1.2
209,210,-180,21,218,197,-0.83
210,211,313,114,130,16,2.41
211,212,-196,5,108,103,-1.81
212,213,-442,44,44,0,-10.05
213,214,325,126,152,26,2.14
214,215,108,108,209,101,0.52
215,216,-316,170,170,0,-1.86
216,217,-432,54,54,0,-8.0
217,218,-390,96,96,0,-4.06
218,219,398,199,201,2,1.98
219,220,92,92,159,67,0.58
220,221,-428,58,58,0,-7.38
221,222,-458,28,28,0,-16.36
222,223,-426,60,60,0,-7.1
223,224,-195,6,148,142,-1.32
224,225,-408,78,78,0,-5.23
225,226,278,79,98,19,2.84
226,227,299,100,125,25,2.39
227,228,-200,1,109,108,-1.83
228,229,-269,217,217,0,-1.24
229,230,-346,140,140,0,-2.47
230,231,-414,72,72,0,-5.75
231,232,50,50,121,71,0.41
232,233,379,180,185,5,2.05
233,234,378,179,185,6,2.04
234,235,46,46,119,73,0.39
235,236,-410,76,76,0,-5.39
236,237,-154,47,225,178,-0.68
237,238,-149,52,199,147,-0.75
238,239,-371,115,115,0,-3.23
239,240,-111,90,305,215,-0.36
240,241,43,43,68,25,0.63
241,242,108,108,162,54,0.67
242,243,107,107,225,118,0.48
243,244,-195,6,142,136,-1.37
244,245,-345,141,141,0,-2.45
