#{"t_start": 1643754310.58131, "env_id": null}
r,l,t
1,1,4.900099
3,3,4.906742
1,1,4.91027
4,4,4.91634
1,1,4.919317
2,2,4.924577
1,1,4.928395
1,1,4.931357
2,2,4.935155
1,1,4.938986
1,1,4.942542
2,2,4.946598
1,1,4.949458
4,4,4.95676
2,2,4.96161
2,2,4.965514
1,1,4.968644
1,1,4.972586
1,1,4.976202
3,3,4.98115
2,2,4.985244
3,3,4.991297
1,1,4.996279
1,1,4.999569
2,2,5.00339
1,1,5.007398
2,2,5.012111
2,2,5.015869
2,2,5.019711
1,1,5.023338
5,5,5.031604
2,2,5.035912
1,1,5.039016
1,1,5.042962
1,1,5.046437
4,4,5.052048
1,1,5.054846
4,4,5.062111
1,1,5.066137
1,1,5.06915
1,1,5.0724
1,1,5.076053
1,1,5.079401
1,1,5.08256
1,1,5.085855
2,2,5.091403
3,3,5.096428
1,1,5.099387
7,7,5.108481
1,1,5.112105
2,2,5.116757
4,4,5.122397
1,1,5.125399
1,1,5.128944
3,3,5.135072
1,1,5.13912
1,1,5.141916
4,4,5.149905
4,4,5.156351
6,6,5.16372
1,1,5.16732
3,3,5.173464
2,2,5.177592
1,1,5.180508
4,4,5.186111
1,1,5.18971
4,4,5.19598
1,1,5.198655
1,1,5.201321
1,1,5.205037
2,2,5.209464
1,1,5.212157
4,4,5.217498
3,3,5.223509
1,1,5.227173
3,3,5.23167
1,1,5.234717
1,1,5.238684
2,2,5.243152
1,1,5.245977
1,1,5.248951
2,2,5.254219
1,1,5.257887
1,1,5.261009
2,2,5.264556
3,3,5.270964
2,2,5.276022
1,1,5.278822
6,6,5.286651
3,3,5.292724
3,3,5.298232
1,1,5.301273
2,2,5.30566
1,1,5.309454
2,2,5.314892
2,2,5.318965
2,2,5.322543
1,1,5.326326
3,3,5.332152
3,3,5.337539
8,8,5.347028
1,1,5.350923
2,2,5.355548
1,1,5.358644
3,3,5.363235
3,3,5.369236
3,3,5.374474
3,3,5.378905
1,1,5.381607
3,3,5.387405
2,2,5.392272
1,1,5.394989
1,1,5.397504
2,2,5.402082
2,2,5.406701
1,1,5.409631
2,2,5.413192
2,2,5.418397
2,2,5.423442
1,1,5.426325
1,1,5.428999
1,1,5.432938
2,2,5.4375
1,1,5.441737
1,1,5.444658
2,2,5.450276
1,1,5.453933
2,2,5.459356
1,1,5.462126
2,2,5.467752
1,1,5.472843
5,5,5.480808
4,4,5.487424
1,1,5.491669
1,1,5.495732
1,1,5.499386
2,2,5.50339
8,8,5.516297
1,1,5.520225
2,2,5.524663
3,3,5.52951
1,1,5.533657
2,2,5.537904
2,2,5.543767
2,2,5.547703
1,1,5.552379
1,1,5.556432
1,1,5.559934
2,2,5.563555
2,2,5.56881
1,1,5.572558
4,4,5.578317
1,1,5.581131
2,2,5.585749
1,1,5.589679
2,2,5.593654
2,2,5.597202
2,2,5.602518
1,1,5.606078
1,1,5.609369
3,3,5.613867
2,2,5.618841
1,1,5.623631
3,3,5.628644
1,1,5.631326
1,1,5.635484
1,1,5.63923
1,1,5.642536
1,1,5.645279
1,1,5.648985
1,1,5.652762
1,1,5.656267
1,1,5.659176
4,4,5.666986
2,2,5.672082
1,1,5.675008
1,1,5.677706
3,3,5.684101
3,3,5.689609
1,1,5.693001
1,1,5.695792
2,2,5.70078
2,2,5.70576
3,3,5.711568
1,1,5.71463
3,3,5.72099
4,4,5.728465
1,1,5.731119
2,2,5.735444
1,1,5.739199
1,1,5.743076
1,1,5.745829
1,1,5.748418
2,2,5.753319
2,2,5.758082
1,1,5.761174
1,1,5.763928
1,1,5.767795
3,3,5.773796
1,1,5.776841
4,4,5.782474
2,2,5.787557
4,4,5.794819
1,1,5.797543
1,1,5.800692
3,3,5.806716
1,1,5.810842
1,1,5.813665
1,1,5.816408
5,5,5.824889
2,2,5.829633
1,1,5.832553
3,3,5.838133
2,2,5.845109
1,1,5.849763
1,1,5.853426
1,1,5.856399
1,1,5.86136
1,1,5.866799
1,1,5.871741
2,2,5.877536
1,1,5.883317
2,2,5.890526
1,1,5.893351
2,2,5.897316
5,5,5.906465
1,1,5.910559
1,1,5.913754
5,5,5.920986
1,1,5.925071
3,3,5.932399
4,4,5.939009
2,2,5.943443
1,1,5.947876
3,3,5.953961
1,1,5.956859
4,4,5.962373
5,5,5.972296
4,4,5.978913
2,2,5.983066
1,1,5.986672
1,1,5.990428
3,3,5.997357
2,2,6.001629
1,1,6.004931
1,1,6.00904
4,4,6.016199
1,1,6.019134
1,1,6.022378
4,4,6.02935
3,3,6.035246
4,4,6.040969
1,1,6.044009
1,1,6.04798
1,1,6.052636
2,2,6.056967
4,4,6.062278
2,2,6.068157
3,3,6.074821
2,2,6.078519
3,3,6.083227
7,7,6.09589
6,6,6.104608
1,1,6.108354
2,2,6.11215
2,2,6.117262
1,1,6.12106
1,1,6.123862
4,4,6.129672
1,1,6.135466
1,1,6.140467
1,1,6.144663
4,4,6.151106
1,1,6.155324
1,1,6.159397
5,5,6.167404
1,1,6.170653
1,1,6.174538
2,2,6.180397
1,1,6.183501
2,2,6.187652
1,1,6.19151
1,1,6.196293
1,1,6.199551
5,5,6.206641
1,1,6.211322
1,1,6.215584
4,4,6.221967
2,2,6.225988
2,2,6.232526
4,4,6.240681
1,1,6.243697
1,1,6.24655
3,3,6.25362
1,1,6.257222
1,1,6.26027
4,4,6.267908
2,2,6.274155
1,1,6.278582
2,2,6.28252
3,3,6.287264
2,2,6.29258
2,2,6.297628
3,3,6.302627
1,1,6.305711
8,8,6.318115
2,2,6.322959
2,2,6.326859
2,2,6.330458
2,2,6.335815
1,1,6.339508
1,1,6.342556
2,2,6.346623
1,1,6.350433
3,3,6.356407
2,2,6.361431
1,1,6.364251
1,1,6.368344
1,1,6.372122
4,4,6.379405
4,4,6.385572
5,5,6.394975
3,3,6.40104
1,1,6.404035
4,4,6.40993
2,2,6.415252
1,1,6.419851
1,1,6.42315
6,6,6.430508
2,2,6.43596
1,1,6.439702
2,2,6.444566
1,1,6.447354
3,3,6.454247
8,8,6.464497
1,1,6.467959
2,2,6.471982
1,1,6.4765
1,1,6.479914
1,1,6.483594
1,1,6.486741
1,1,6.490873
1,1,6.49445
1,1,6.497811
2,2,6.502385
4,4,6.50974
1,1,6.514394
1,1,6.517852
2,2,6.522259
1,1,6.525896
1,1,6.529558
2,2,6.534179
2,2,6.538146
2,2,6.543078
4,4,6.550463
1,1,6.553455
1,1,6.556471
1,1,6.560104
3,3,6.566152
2,2,6.570299
6,6,6.57754
1,1,6.581574
4,4,6.59002
1,1,6.592819
4,4,6.598802
1,1,6.603078
1,1,6.607609
1,1,6.610888
2,2,6.614567
4,4,6.622067
3,3,6.627877
2,2,6.631455
1,1,6.634523
2,2,6.639685
1,1,6.643809
1,1,6.646761
3,3,6.651857
3,3,6.658255
1,1,6.662147
2,2,6.666885
2,2,6.670632
1,1,6.674871
3,3,6.680032
1,1,6.683772
1,1,6.686699
8,8,6.698478
3,3,6.70461
2,2,6.709481
5,5,6.716243
1,1,6.720771
1,1,6.724948
1,1,6.728081
5,5,6.737528
1,1,6.742026
2,2,6.7467
2,2,6.750537
1,1,6.753605
3,3,6.759529
5,5,6.769096
5,5,6.776407
1,1,6.779615
2,2,6.785041
2,2,6.789872
2,2,6.793571
2,2,6.797316
1,1,6.801384
3,3,6.807355
1,1,6.810512
1,1,6.813271
4,4,6.821038
5,5,6.829006
3,3,6.833946
1,1,6.837795
2,2,6.843936
2,2,6.848897
2,2,6.853465
1,1,6.856372
2,2,6.86169
1,1,6.865517
1,1,6.868952
8,8,6.87906
2,2,6.885009
2,2,6.889859
2,2,6.893818
1,1,6.896919
3,3,6.903976
3,3,6.909617
2,2,6.913666
1,1,6.916953
1,1,6.921837
3,3,6.928316
3,3,6.933167
3,3,6.938243
2,2,6.943671
1,1,6.947231
1,1,6.950273
1,1,6.95324
4,4,6.960429
1,1,6.964331
1,1,6.967496
1,1,6.97037
2,2,6.975897
1,1,6.979943
2,2,6.985086
1,1,6.988319
1,1,6.992477
2,2,6.998313
1,1,7.002276
2,2,7.006686
2,2,7.012044
1,1,7.016437
1,1,7.020002
1,1,7.023282
1,1,7.027447
1,1,7.031514
1,1,7.034935
1,1,7.038642
1,1,7.043002
3,3,7.048867
3,3,7.054105
2,2,7.058186
2,2,7.064591
1,1,7.069002
1,1,7.07312
4,4,7.0789
1,1,7.083227
1,1,7.087447
1,1,7.091454
3,3,7.096526
1,1,7.101102
1,1,7.105516
1,1,7.108595
1,1,7.111519
1,1,7.115224
1,1,7.119262
1,1,7.122758
4,4,7.128558
3,3,7.134876
3,3,7.141032
4,4,7.146744
4,4,7.15319
1,1,7.157056
3,3,7.162862
2,2,7.166789
2,2,7.170699
2,2,7.17627
4,4,7.182697
1,1,7.185904
2,2,7.189845
1,1,7.193519
3,3,7.199226
1,1,7.202512
1,1,7.205436
1,1,7.20946
1,1,7.213621
2,2,7.219017
2,2,7.224391
2,2,7.231475
2,2,7.239784
1,1,7.256787
3,3,7.262184
1,1,7.266669
2,2,7.271506
4,4,7.276926
1,1,7.279614
1,1,7.283699
1,1,7.287097
1,1,7.289575
4,4,7.293657
2,2,7.297748
2,2,7.301482
3,3,7.305625
1,1,7.307959
7,7,7.316339
1,1,7.320009
1,1,7.323289
1,1,7.32541
1,1,7.328282
1,1,7.330782
2,2,7.334696
1,1,7.337431
1,1,7.341007
3,3,7.345363
1,1,7.348152
1,1,7.350659
2,2,7.355122
1,1,7.357935
2,2,7.361454
1,1,7.363745
1,1,7.367384
2,2,7.372075
8,8,7.382947
1,1,7.386074
5,5,7.395127
1,1,7.398437
1,1,7.402224
3,3,7.40678
2,2,7.411551
1,1,7.415905
6,6,7.423561
4,4,7.429416
4,4,7.437583
2,2,7.442219
1,1,7.444932
1,1,7.447562
3,3,7.453957
2,2,7.459179
2,2,7.462873
1,1,7.465673
2,2,7.470605
1,1,7.474812
2,2,7.478758
1,1,7.481518
1,1,7.485688
2,2,7.490525
2,2,7.494713
3,3,7.5002
1,1,7.504197
1,1,7.508662
1,1,7.513242
1,1,7.516982
1,1,7.521881
2,2,7.526388
1,1,7.530193
1,1,7.533317
1,1,7.537645
1,1,7.541532
1,1,7.544543
2,2,7.5486
7,7,7.55927
4,4,7.565576
3,3,7.570339
1,1,7.572978
1,1,7.57649
1,1,7.579784
2,2,7.58364
1,1,7.586471
1,1,7.589789
1,1,7.592845
1,1,7.59567
1,1,7.598721
1,1,7.602275
1,1,7.605644
1,1,7.608367
2,2,7.611739
2,2,7.616286
5,5,7.623201
1,1,7.625677
1,1,7.628212
1,1,7.631568
1,1,7.634854
2,2,7.63847
1,1,7.640931
5,5,7.647686
7,7,7.657076
1,1,7.659974
1,1,7.662473
1,1,7.666067
2,2,7.670396
1,1,7.673036
3,3,7.677154
2,2,7.682637
1,1,7.686184
1,1,7.689482
4,4,7.694964
1,1,7.699303
4,4,7.706003
1,1,7.709049
1,1,7.711903
1,1,7.715867
2,2,7.721454
4,4,7.72737
1,1,7.730245
1,1,7.735027
1,1,7.739368
1,1,7.742405
1,1,7.745463
3,3,7.753222
2,2,7.758448
1,1,7.761317
2,2,7.765015
1,1,7.769734
1,1,7.773121
1,1,7.775985
3,3,7.78036
1,1,7.784492
2,2,7.789335
2,2,7.794072
1,1,7.797103
2,2,7.802422
1,1,7.80604
2,2,7.810267
1,1,7.813097
1,1,7.818589
5,5,7.826436
1,1,7.829486
1,1,7.834237
3,3,7.841237
1,1,7.844741
1,1,7.847675
1,1,7.851717
2,2,7.85671
2,2,7.861842
1,1,7.864741
2,2,7.870089
2,2,7.875379
3,3,7.881629
3,3,7.887974
2,2,7.891949
2,2,7.896853
1,1,7.901946
2,2,7.905783
2,2,7.909809
2,2,7.915201
3,3,7.921114
1,1,7.92404
1,1,7.927065
3,3,7.936234
1,1,7.941378
2,2,7.94658
3,3,7.953904
4,4,7.963157
1,1,7.96891
1,1,7.97246
2,2,7.97762
1,1,7.982183
1,1,7.986184
1,1,7.989701
2,2,7.994527
1,1,7.999803
1,1,8.003935
1,1,8.007199
1,1,8.011056
1,1,8.016707
2,2,8.021533
1,1,8.024914
1,1,8.027984
1,1,8.032926
4,4,8.041087
1,1,8.044448
1,1,8.047777
1,1,8.053295
1,1,8.057769
2,2,8.063444
1,1,8.090503
1,1,8.097917
6,6,8.111421
3,3,8.117669
8,8,8.131141
2,2,8.136382
1,1,8.140747
4,4,8.147916
1,1,8.152465
2,2,8.15793
3,3,8.164885
1,1,8.168508
1,1,8.171867
1,1,8.176426
2,2,8.181438
4,4,8.18905
1,1,8.192345
1,1,8.196081
1,1,8.201009
4,4,8.20749
1,1,8.210474
1,1,8.215688
3,3,8.222843
2,2,8.228312
4,4,8.236033
3,3,8.2427
3,3,8.248779
2,2,8.253084
4,4,8.25917
1,1,8.263267
1,1,8.268164
3,3,8.273799
1,1,8.276522
3,3,8.28442
2,2,8.289644
4,4,8.296902
1,1,8.300424
2,2,8.305609
2,2,8.310167
2,2,8.315864
3,3,8.321212
2,2,8.326946
6,6,8.337577
1,1,8.340361
4,4,8.347098
1,1,8.352812
1,1,8.356219
1,1,8.360103
1,1,8.363308
2,2,8.369249
2,2,8.373664
2,2,8.378247
1,1,8.381088
2,2,8.386752
2,2,8.391487
1,1,8.394661
3,3,8.400702
2,2,8.40627
1,1,8.410087
6,6,8.41931
1,1,8.4224
1,1,8.427127
1,1,8.430266
3,3,8.435597
4,4,8.441915
1,1,8.445655
1,1,8.450095
1,1,8.453036
2,2,8.457061
1,1,8.460724
2,2,8.466193
3,3,8.472164
1,1,8.475341
2,2,8.480473
2,2,8.486243
1,1,8.489823
2,2,8.49385
2,2,8.498583
1,1,8.502617
2,2,8.507594
1,1,8.510324
3,3,8.516855
1,1,8.520533
1,1,8.523968
2,2,8.527849
1,1,8.531783
1,1,8.535786
3,3,8.541056
3,3,8.545751
1,1,8.549875
1,1,8.553489
1,1,8.557045
1,1,8.559788
1,1,8.563328
1,1,8.567475
4,4,8.573548
2,2,8.577844
1,1,8.58166
5,5,8.590418
3,3,8.595095
1,1,8.597819
1,1,8.601976
4,4,8.608879
1,1,8.611556
1,1,8.614122
1,1,8.6185
2,2,8.6231
2,2,8.626711
1,1,8.629555
1,1,8.633625
1,1,8.636797
1,1,8.640197
1,1,8.643217
2,2,8.648241
3,3,8.65363
1,1,8.657157
3,3,8.66198
7,7,8.673937
1,1,8.677124
2,2,8.680868
4,4,8.687117
1,1,8.691215
1,1,8.694637
2,2,8.698828
1,1,8.701816
1,1,8.706165
1,1,8.709778
2,2,8.714901
2,2,8.719352
1,1,8.723607
1,1,8.727013
1,1,8.730142
1,1,8.733735
6,6,8.744141
2,2,8.748282
1,1,8.751581
2,2,8.756
2,2,8.76075
3,3,8.76698
2,2,8.771042
3,3,8.775763
3,3,8.782184
1,1,8.786801
1,1,8.790202
2,2,8.79382
2,2,8.798577
1,1,8.803328
2,2,8.807392
2,2,8.812341
5,5,8.822122
1,1,8.826245
1,1,8.82916
1,1,8.832018
3,3,8.839832
1,1,8.843339
1,1,8.847003
2,2,8.851746
1,1,8.855555
3,3,8.860939
2,2,8.8651
1,1,8.869085
2,2,8.87433
1,1,8.87798
1,1,8.880919
2,2,8.885469
1,1,8.889445
5,5,8.897156
6,6,8.905791
8,8,8.916659
5,5,8.924525
3,3,8.929573
1,1,8.932622
1,1,8.935831
1,1,8.939619
3,3,8.944759
2,2,8.94985
1,1,8.952786
1,1,8.95683
2,2,8.961468
4,4,8.967189
2,2,8.971093
1,1,8.975572
1,1,8.98031
3,3,8.985715
1,1,8.988778
1,1,8.992473
2,2,8.998904
1,1,9.002391
3,3,9.007839
1,1,9.011592
2,2,9.017347
2,2,9.021672
1,1,9.024383
2,2,9.028967
2,2,9.034168
4,4,9.040954
1,1,9.043699
2,2,9.048448
1,1,9.052714
2,2,9.057368
2,2,9.060948
4,4,9.068192
1,1,9.071615
4,4,9.078289
1,1,9.081123
2,2,9.086478
3,3,9.092055
2,2,9.095869
1,1,9.098757
1,1,9.10319
3,3,9.109847
1,1,9.112902
5,5,9.120087
2,2,9.125229
1,1,9.128958
2,2,9.132844
1,1,9.136474
1,1,9.140373
5,5,9.149083
1,1,9.152617
1,1,9.156318
5,5,9.166251
1,1,9.171132
3,3,9.176597
2,2,9.180215
7,7,9.191838
3,3,9.197733
1,1,9.201352
2,2,9.205619
1,1,9.209533
1,1,9.21329
1,1,9.216837
2,2,9.220966
2,2,9.225959
1,1,9.229786
1,1,9.233661
1,1,9.237319
4,4,9.244288
1,1,9.249908
1,1,9.253338
3,3,9.257957
1,1,9.26204
5,5,9.272093
1,1,9.275061
1,1,9.278024
3,3,9.285051
4,4,9.292175
5,5,9.298897
1,1,9.302383
1,1,9.306427
2,2,9.31118
1,1,9.314349
1,1,9.317594
1,1,9.322144
3,3,9.328166
3,3,9.333451
2,2,9.337119
2,2,9.341879
1,1,9.345429
2,2,9.349323
3,3,9.354481
2,2,9.359226
2,2,9.363808
1,1,9.367214
3,3,9.371819
2,2,9.377229
4,4,9.38532
1,1,9.389148
1,1,9.393104
1,1,9.397621
1,1,9.401984
1,1,9.406429
5,5,9.414617
5,5,9.423116
2,2,9.427677
4,4,9.433518
1,1,9.436424
3,3,9.442497
4,4,9.448229
4,4,9.453389
6,6,9.459843
2,2,9.464236
2,2,9.468755
7,7,9.481233
1,1,9.485928
7,7,9.500966
1,1,9.504781
1,1,9.507997
2,2,9.511604
1,1,9.517294
2,2,9.523352
3,3,9.529258
5,5,9.536356
2,2,9.541258
3,3,9.547381
2,2,9.551727
2,2,9.555661
1,1,9.559437
1,1,9.563399
1,1,9.566321
1,1,9.569478
1,1,9.573026
2,2,9.577449
3,3,9.582122
2,2,9.585914
1,1,9.589426
1,1,9.592675
1,1,9.595503
3,3,9.600454
6,6,9.609352
1,1,9.612458
1,1,9.615284
2,2,9.619439
2,2,9.624296
6,6,9.633139
6,6,9.640793
3,3,9.645346
1,1,9.648964
1,1,9.652384
1,1,9.655066
1,1,9.657926
2,2,9.662252
1,1,9.666796
1,1,9.670403
2,2,9.676319
2,2,9.682553
2,2,9.687864
2,2,9.692424
3,3,9.698483
2,2,9.704522
2,2,9.711947
2,2,9.719396
1,1,9.724795
6,6,9.739284
3,3,9.74914
1,1,9.753851
1,1,9.757433
1,1,9.767498
1,1,9.774444
1,1,9.780028
1,1,9.787896
2,2,9.799625
2,2,9.808708
1,1,9.81403
1,1,9.81978
2,2,9.83515
2,2,9.843743
1,1,9.850123
5,5,9.863273
1,1,9.869598
3,3,9.87653
8,8,9.889003
1,1,9.892771
1,1,9.912949
4,4,9.919591
2,2,9.924108
1,1,9.926861
1,1,9.93065
1,1,9.934733
1,1,9.937635
1,1,9.940432
2,2,9.944631
2,2,9.94879
3,3,9.954219
2,2,9.958083
2,2,9.962906
1,1,9.966385
1,1,9.969208
1,1,9.972102
2,2,9.977148
1,1,9.981928
1,1,9.985084
1,1,9.988113
1,1,9.991944
1,1,9.995845
1,1,9.999335
1,1,10.00239
1,1,10.006589
2,2,10.010746
2,2,10.014846
2,2,10.01867
5,5,10.028012
2,2,10.035315
1,1,10.041856
1,1,10.046137
1,1,10.051195
1,1,10.054384
2,2,10.058637
4,4,10.064918
2,2,10.070921
1,1,10.075386
1,1,10.07887
2,2,10.082616
2,2,10.08762
