,machine,reward,num_actions,max_RUL
415,416,16,16,157
416,417,39,39,118
417,418,-338,148,148
418,419,21,21,111
419,420,8,8,77
420,421,17,17,223
421,422,17,17,136
422,423,48,48,270
423,424,30,30,78
424,425,18,18,121
425,426,27,27,185
426,427,86,86,187
427,428,-382,104,104
428,429,18,18,83
429,430,23,23,366
430,431,14,14,231
431,432,9,9,108
432,433,9,9,67
433,434,95,95,190
434,435,51,51,179
435,436,115,115,380
436,437,6,6,278
437,438,60,60,169
438,439,39,39,84
439,440,32,32,154
440,441,45,45,193
441,442,51,51,167
442,443,9,9,75
443,444,6,6,117
444,445,161,161,173
445,446,18,18,217
446,447,-446,40,40
447,448,29,29,119
448,449,85,85,205
449,450,29,29,55
450,451,79,79,265
451,452,1,1,157
452,453,1,1,332
453,454,19,19,212
454,455,30,30,357
455,456,15,15,94
456,457,23,23,181
457,458,34,34,288
458,459,70,70,246
459,460,80,80,229
460,461,71,71,152
461,462,80,80,140
462,463,10,10,207
463,464,39,39,50
464,465,45,45,145
465,466,-433,53,53
466,467,37,37,247
467,468,1,1,283
468,469,-464,22,22
469,470,16,16,81
470,471,111,111,269
471,472,169,169,226
472,473,27,27,101
473,474,30,30,167
474,475,17,17,239
475,476,9,9,333
476,477,11,11,246
477,478,14,14,23
478,479,6,6,114
479,480,17,17,201
480,481,43,43,157
481,482,1,1,161
482,483,56,56,173
483,484,2,2,485
484,485,10,10,89
485,486,10,10,143
486,487,-467,19,19
487,488,107,107,215
488,489,28,28,228
489,490,19,19,133
490,491,24,24,259
491,492,9,9,106
492,493,30,30,360
493,494,10,10,277
494,495,56,56,158
495,496,61,61,344
496,497,52,52,124
497,498,13,13,213
498,499,8,8,265
499,500,21,21,413
500,501,11,11,199
501,502,83,83,119
502,503,125,125,405
503,504,-409,77,77
504,505,36,36,36
505,506,30,30,223
506,507,23,23,213
507,508,29,29,272
508,509,133,133,205
509,510,4,4,136
510,511,13,13,57
511,512,15,15,66
512,513,28,28,80
513,514,51,51,102
514,515,44,44,179
515,516,87,87,120
516,517,11,11,184
517,518,15,15,36
518,519,28,28,134
519,520,4,4,395
520,521,1,1,239
521,522,6,6,157
522,523,23,23,250
523,524,19,19,185
524,525,21,21,96
